,Type,Created Date and Time,X Coordinate,Y Coordinate,Year
2400 S PRINCETON AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:38 AM,1174594,1888269,2017
4100 W ARMITAGE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:38 AM,1148372,1912965,2017
700 W JACKSON BLVD,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:36 AM,1171836,1898879,2017
3000 W WILSON AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:27 AM,1155155,1930363,2017
300 S CANAL ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:27 AM,1173186,1898908,2017
1800 W FLETCHER ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:26 AM,1163363,1920941,2017
3000 W WILSON AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:24 AM,1155155,1930363,2017
5200 S SPAULDING AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:21 AM,1155269,1869640,2017
4800 N BERNARD ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:18 AM,1152517,1931678,2017
4800 N ST LOUIS AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:15 AM,1152185,1931671,2017
5700 W GUNNISON ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:09 AM,1137104,1931663,2017
2900 N SPAULDING AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 7:54 AM,1153869,1919549,2017
2900 N SPAULDING AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 7:51 AM,1153871,1919480,2017
600 S FINANCIAL PL,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 7:51 AM,1175088,1897634,2017
5500 N MAGNOLIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 7:48 AM,1166960,1937063,2017
1900 N OAKLEY AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 7:24 AM,1160722,1912960,2017
11100 S MAPLEWOOD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 7:21 AM,1161376,1830460,2017
2200 W BELMONT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 7:00 AM,1161019,1921217,2017
3200 W PALMER ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 6:45 AM,1154484,1914443,2017
7700 S MICHIGAN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 2:09 AM,1178490,1853888,2017
7700 S MICHIGAN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 2:06 AM,1178488,1853982,2017
4000 S BRIGHTON PL,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 10:10 PM,1159070,1877946,2017
4000 S BRIGHTON PL,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 10:08 PM,1159063,1877955,2017
1300 W SCHUBERT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 9:54 PM,1167163,1918054,2017
400 N ASHLAND AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 9:45 PM,1165646,1903310,2017
100 N LARAMIE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 9:03 PM,1141700,1900254,2017
1100 S TROY ST,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 8:44 PM,1155535,1894943,2017
3300 N WHIPPLE ST,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 8:39 PM,1155465,1921896,2017
7000 S CREGIER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 8:09 PM,1189416,1858750,2017
900 N NOBLE ST,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 8:09 PM,1166886,1906456,2017
7000 S CREGIER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 8:08 PM,1189414,1858799,2017
900 N NOBLE ST,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 8:06 PM,1166888,1906370,2017
2700 S MILLARD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 6:57 PM,1152474,1885814,2017
1700 W 17TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 6:53 PM,1164961,1891781,2017
3100 N CENTRAL PARK AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 6:48 PM,1151847,1920485,2017
2600 E 76TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 6:46 PM,1194894,1855073,2017
1000 W HOLLYWOOD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 6:42 PM,1168072,1938031,2017
4600 S TROY ST,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 6:40 PM,1156143,1873970,2017
1000 W BRYN MAWR AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 6:39 PM,1168125,1937367,2017
1200 W CHASE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 6:15 PM,1166442,1948391,2017
200 W 23RD ST,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 5:36 PM,1175325,1889070,2017
600 W WRIGHTWOOD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 5:33 PM,1171654,1917614,2017
3900 N WAYNE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 5:12 PM,1166443,1926409,2017
0 W DIVISION ST,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 5:06 PM,1176033,1908373,2017
3400 N LINCOLN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 4:57 PM,1164140,1923093,2017
6700 S CICERO AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 4:55 PM,1145542,1859744,2017
2200 W WINNEMAC AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 4:21 PM,1160421,1933452,2017
3500 N CENTRAL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 4:18 PM,1138390,1923165,2017
3500 N CENTRAL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 3:54 PM,1138390,1923165,2017
1700 W NEWPORT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 3:48 PM,1164098,1922952,2017
0 N AUSTIN BLVD,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 3:39 PM,1136383,1899644,2017
7600 S VINCENNES AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 3:37 PM,1175539,1854562,2017
5700 W 55TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/14/17 3:31 PM,1139199,1867556,2017
